age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,exceeds50K
30, ?,147215, Some-college,10, Never-married, ?, Own-child, Female,0,0,30, United-States,0
60, Private,173960, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Female,0,0,42, United-States,0
52, ?,105428, Some-college,10, Married-civ-spouse, ?, Husband, Male,0,0,12, United-States,0
37, Private,112497, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,60, United-States,0
63, Private,137843, Some-college,10, Married-civ-spouse, Sales, Husband, Male,7298,0,48, United-States,1
23, State-gov,82067, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,0
47, Self-emp-inc,212120, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
48, Self-emp-not-inc,171986, HS-grad,9, Divorced, Prof-specialty, Not-in-family, Male,0,0,15, United-States,0
24, Private,180060, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, Male,2354,0,40, United-States,0
25, Self-emp-not-inc,159909, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, United-States,0
59, Private,108496, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,45, United-States,1
60, Private,178050, HS-grad,9, Divorced, Other-service, Unmarried, Female,0,0,38, United-States,0
22, Private,188544, Assoc-voc,11, Never-married, Adm-clerical, Own-child, Female,0,0,30, United-States,0
47, Private,133758, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Female,0,1974,40, United-States,0
33, Private,59944, HS-grad,9, Never-married, Transport-moving, Not-in-family, Male,0,0,40, United-States,0
65, Local-gov,153890, 12th,8, Widowed, Exec-managerial, Not-in-family, Male,2009,0,44, United-States,0
40, Private,266084, Some-college,10, Divorced, Craft-repair, Other-relative, Male,0,0,50, United-States,0
38, State-gov,108293, Masters,14, Never-married, Prof-specialty, Other-relative, Female,0,0,40, United-States,0
52, Private,139176, HS-grad,9, Married-civ-spouse, Sales, Husband, Male,0,0,8, United-States,0
27, State-gov,205499, Doctorate,16, Never-married, Prof-specialty, Not-in-family, Male,0,0,77, United-States,0
40, Self-emp-inc,64885, Masters,14, Married-civ-spouse, Sales, Husband, Male,0,0,70, United-States,1
37, Private,19899, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,15024,0,45, United-States,1
17, Private,263746, 10th,6, Never-married, Other-service, Own-child, Male,0,0,24, United-States,0
24, Private,204226, Masters,14, Never-married, Prof-specialty, Not-in-family, Female,0,0,40, United-States,0
55, Private,153484, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,1977,50, United-States,1
56, Private,183169, HS-grad,9, Never-married, Adm-clerical, Own-child, Female,0,0,35, United-States,0
48, Private,128460, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,42, United-States,1
35, Private,166606, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,0
38, Private,65624, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Male,0,0,40, United-States,0
59, Private,279636, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Male,0,0,50, Guatemala,0
22, Private,254547, Some-college,10, Never-married, Exec-managerial, Unmarried, Female,0,0,40, Jamaica,0
55, Private,178353, 9th,5, Divorced, Machine-op-inspct, Not-in-family, Male,10520,0,60, United-States,1
55, Private,158702, Some-college,10, Never-married, Adm-clerical, Not-in-family, Female,0,2339,45, ?,0
17, Private,160049, 10th,6, Never-married, Other-service, Own-child, Female,0,0,12, United-States,0
42, Private,219155, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,15024,0,50, United-States,1
33, Self-emp-not-inc,134737, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,35, United-States,0
52, Private,177942, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,1
42, Private,44402, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,60, United-States,0
